Date,Time,Voltage,Current,Power
10/26/20,15: 49: 14,153.2,0.18,18
10/26/20,15: 49: 14,156.2,0.18,18
10/26/20,15: 49: 14,156.2,0.21,23
10/26/20,15: 49: 14,156.2,0.21,22
10/26/20,15: 49: 14,155.1,0.21,17
10/26/20,15: 49: 14,155.1,0.17,17
10/26/20,15: 49: 14,155.1,0.17,18
10/26/20,15: 49: 14,156.8,0.17,18
10/26/20,15: 49: 14,156.8,0.18,17
10/26/20,15: 49: 14,156.3,0.18,17
10/26/20,15: 49: 14,156.3,0.18,18
10/26/20,15: 49: 14,156.3,0.18,17
10/26/20,15: 49: 14,151.6,0.18,18
10/26/20,15: 49: 14,151.6,0.18,18
10/26/20,15: 49: 14,151.6,0.18,18
10/26/20,15: 49: 14,151.3,0.18,21
10/26/20,15: 49: 14,151.3,0.19,19
10/26/20,15: 49: 14,153.1,0.19,19
10/26/20,15: 49: 14,153.1,0.19,20
10/26/20,15: 49: 14,153.1,0.19,20
10/26/20,15: 49: 14,156.5,0.19,18
10/26/20,15: 49: 14,156.5,0.18,18
10/26/20,15: 49: 14,156.5,0.18,16
10/26/20,15: 49: 14,157.9,0.18,17
10/26/20,15: 49: 14,157.9,0.16,17
10/26/20,15: 49: 14,158.8,0.16,17
10/26/20,15: 49: 14,158.8,0.09,8
10/26/20,15: 49: 14,158.8,0.09,8
10/26/20,15: 49: 14,157.4,0.09,8
10/26/20,15: 49: 14,157.4,0.09,8
10/26/20,15: 49: 14,157.4,0.09,15
10/26/20,15: 49: 14,155.2,0.09,9
10/26/20,15: 49: 14,155.2,0.1,8
10/26/20,15: 49: 14,155.9,0.1,8
10/26/20,15: 49: 14,155.9,0.1,9
10/26/20,15: 49: 14,155.9,0.1,8
10/26/20,15: 49: 14,155.8,0.1,9
10/26/20,15: 49: 14,155.8,0.1,10
10/26/20,15: 49: 14,155.8,0.1,9
10/26/20,15: 49: 14,155.9,0.1,9
10/26/20,15: 49: 14,155.9,0.1,8
10/26/20,15: 49: 14,157.1,0.1,8
10/26/20,15: 49: 14,157.1,0.1,10
10/26/20,15: 49: 14,157.1,0.1,9
10/26/20,15: 49: 14,155.0,0.1,9
10/26/20,15: 49: 14,155.0,0.1,9
10/26/20,15: 49: 14,155.0,0.1,17
10/26/20,15: 49: 14,155.6,0.1,17
10/26/20,15: 49: 14,155.6,0.18,17
10/26/20,15: 49: 14,155.6,0.18,17
10/26/20,15: 49: 14,155.6,0.18,18
10/26/20,15: 49: 14,155.6,0.18,17
10/26/20,15: 49: 14,153.7,0.18,19
10/26/20,15: 49: 14,153.7,0.18,19
10/26/20,15: 49: 14,153.7,0.18,18
10/26/20,15: 49: 14,152.3,0.18,17
10/26/20,15: 49: 14,152.3,0.17,18
10/26/20,15: 49: 14,155.6,0.17,18
10/26/20,15: 49: 14,155.6,0.17,17
10/26/20,15: 49: 14,155.6,0.17,17
10/26/20,15: 49: 14,156.4,0.17,17
10/26/20,15: 49: 14,156.4,0.17,17
10/26/20,15: 49: 14,156.4,0.17,17
10/26/20,15: 49: 14,157.2,0.17,18
10/26/20,15: 49: 14,157.2,0.17,17
10/26/20,15: 49: 14,159.0,0.17,17
10/26/20,15: 49: 14,159.0,0.17,19
10/26/20,15: 49: 14,159.0,0.17,18
10/26/20,15: 49: 14,161.5,0.17,16
10/26/20,15: 49: 14,161.5,0.17,17
10/26/20,15: 49: 14,161.5,0.17,18
10/26/20,15: 49: 14,158.1,0.17,18
10/26/20,15: 49: 14,158.1,0.18,18
